Time,Campaign ID,Age group,Channel Name,Spending,Number of Views,Number of Leads
Apr-15,Apr2015_4,45-54,Instagram Ads,0.08,45,107
Apr-15,Apr2015_4,45-54,Influencer,0.08,35,26
Apr-15,Apr2015_4,45-54,TikTok ads,0.09,54,53
Apr-15,Apr2015_4,45-54,LinkedIn,0.07,33,53
Apr-15,Apr2015_4,45-54,Email,0.04,16,0
Apr-15,Apr2015_4,45-54,Newspaper ads,0.05,10,0
Apr-15,Apr2015_4,45-54,Sponsored search ads,0.07,28,53
Apr-15,Apr2015_4,45-54,Google banner ads,0.08,28,0
Apr-15,Apr2015_4,65 and above,TV ads,0.05,20,0
Apr-15,Apr2015_4,65 and above,Radio ads,0.05,11,0
Apr-15,Apr2015_4,65 and above,Instagram Ads,0.07,22,0
Apr-15,Apr2015_4,65 and above,Influencer,0.07,20,26
Apr-15,Apr2015_4,65 and above,TikTok ads,0.08,23,0
Apr-15,Apr2015_4,65 and above,LinkedIn,0.06,34,53
Apr-15,Apr2015_4,65 and above,Email,0.04,8,0
Apr-15,Apr2015_4,65 and above,Newspaper ads,0.04,19,26
Apr-15,Apr2015_4,65 and above,Sponsored search ads,0.06,13,0
Apr-15,Apr2015_4,65 and above,Google banner ads,0.06,36,53
Apr-15,Apr2015_5,45-54,Radio ads,0.06,18,26
Apr-15,Apr2015_5,45-54,Influencer,0.08,43,107
Apr-15,Apr2015_5,45-54,Google banner ads,0.08,45,26
Apr-15,Apr2015_5,45-54,TV ads,0.06,34,53
Apr-15,Apr2015_5,45-54,Newspaper ads,0.05,24,53
Apr-15,Apr2015_5,45-54,Instagram Ads,0.08,21,53
Apr-15,Apr2015_5,45-54,LinkedIn,0.07,29,26
Apr-15,Apr2015_5,45-54,TikTok ads,0.09,32,53
Apr-15,Apr2015_5,45-54,Sponsored search ads,0.07,33,53
Apr-15,Apr2015_5,65 and above,Radio ads,0.05,14,0
Apr-15,Apr2015_5,65 and above,Influencer,0.07,33,26
Apr-15,Apr2015_5,65 and above,Google banner ads,0.06,18,0
Apr-15,Apr2015_5,65 and above,TV ads,0.05,13,0
Apr-15,Apr2015_5,65 and above,Newspaper ads,0.04,12,26
Apr-15,Apr2015_5,65 and above,Instagram Ads,0.07,32,53
Apr-15,Apr2015_5,65 and above,LinkedIn,0.06,20,26
Apr-15,Apr2015_5,65 and above,TikTok ads,0.08,31,0
Apr-15,Apr2015_5,65 and above,Sponsored search ads,0.06,12,0
Apr-15,Apr2015_6,55-64,LinkedIn,0.98,573,591
Apr-15,Apr2015_6,55-64,TikTok ads,1.34,615,886
Apr-15,Apr2015_6,55-64,Radio ads,0.8,477,698
Apr-15,Apr2015_6,55-64,Instagram Ads,1.16,697,510
Apr-15,Apr2015_6,55-64,Influencer,1.16,404,860
Apr-15,Apr2015_6,55-64,Sponsored search ads,0.98,518,1048
Apr-15,Apr2015_6,35-44,LinkedIn,1.28,714,1397
Apr-15,Apr2015_6,35-44,TikTok ads,1.74,814,1101
Apr-15,Apr2015_6,35-44,Radio ads,1.04,415,510
Apr-15,Apr2015_6,35-44,Instagram Ads,1.51,695,860
Apr-15,Apr2015_6,35-44,Influencer,1.51,402,188
Apr-15,Apr2015_6,35-44,Sponsored search ads,1.28,748,241
Apr-15,Apr2015_6,18-24,LinkedIn,1.47,367,483
Apr-15,Apr2015_6,18-24,TikTok ads,2,630,779
Apr-15,Apr2015_6,18-24,Radio ads,1.2,306,161
Apr-15,Apr2015_6,18-24,Instagram Ads,1.74,932,1935
Apr-15,Apr2015_6,18-24,Influencer,1.74,433,806
Apr-15,Apr2015_6,18-24,Sponsored search ads,1.47,672,1316
Apr-15,Apr2015_6,45-54,LinkedIn,1.08,433,376
Apr-15,Apr2015_6,45-54,TikTok ads,1.47,705,806
Apr-15,Apr2015_6,45-54,Radio ads,0.88,261,322
Apr-15,Apr2015_6,45-54,Instagram Ads,1.28,663,940
Apr-15,Apr2015_6,45-54,Influencer,1.28,420,940
Apr-15,Apr2015_6,45-54,Sponsored search ads,1.08,614,806
Apr-15,Apr2015_6,25-34,LinkedIn,1.37,495,860
Apr-15,Apr2015_6,25-34,TikTok ads,1.87,430,833
Apr-15,Apr2015_6,25-34,Radio ads,1.12,593,725
Apr-15,Apr2015_6,25-34,Instagram Ads,1.62,451,134
Apr-15,Apr2015_6,25-34,Influencer,1.62,760,671
Apr-15,Apr2015_6,25-34,Sponsored search ads,1.37,545,645
Apr-15,Apr2015_7,18-24,TikTok ads,0.5,191,456
Apr-15,Apr2015_7,18-24,Instagram Ads,0.44,179,134
Apr-15,Apr2015_7,18-24,Influencer,0.44,184,53
Apr-15,Apr2015_7,18-24,Facebook ads,0.47,237,134
Apr-15,Apr2015_7,18-24,TV ads,0.34,84,188
Apr-15,Apr2015_7,18-24,Google banner ads,0.4,211,241
Apr-15,Apr2015_7,18-24,LinkedIn,0.37,112,241
Apr-15,Apr2015_7,18-24,Newspaper ads,0.27,162,241
Apr-15,Apr2015_7,18-24,Email,0.24,104,80
Apr-15,Apr2015_7,65 and above,TikTok ads,0.3,135,161
Apr-15,Apr2015_7,65 and above,Instagram Ads,0.26,145,161
Apr-15,Apr2015_7,65 and above,Influencer,0.26,124,80
Apr-15,Apr2015_7,65 and above,Facebook ads,0.28,68,0
Apr-15,Apr2015_7,65 and above,TV ads,0.2,76,26
Apr-15,Apr2015_7,65 and above,Google banner ads,0.24,149,322
Apr-15,Apr2015_7,65 and above,LinkedIn,0.22,109,215
Apr-15,Apr2015_7,65 and above,Newspaper ads,0.16,50,107
Apr-15,Apr2015_7,65 and above,Email,0.14,87,80
Apr-16,Apr2016_1,18-24,Influencer,1.17,350,1000
Apr-16,Apr2016_1,18-24,Email,0.63,266,606
Apr-16,Apr2016_1,18-24,Google banner ads,1.08,578,1030
Apr-16,Apr2016_1,18-24,Sponsored search ads,0.99,515,909
Apr-16,Apr2016_1,18-24,TV ads,0.9,378,545
Apr-16,Apr2016_1,18-24,Instagram Ads,1.17,288,515
Apr-16,Apr2016_1,18-24,TikTok ads,1.35,762,1848
Apr-16,Apr2016_1,18-24,Newspaper ads,0.72,343,697
Apr-16,Apr2016_1,18-24,LinkedIn,0.99,320,242
Apr-16,Apr2016_1,25-34,Influencer,1.09,302,90
Apr-16,Apr2016_1,25-34,Email,0.59,263,636
Apr-16,Apr2016_1,25-34,Google banner ads,1.01,296,151
Apr-16,Apr2016_1,25-34,Sponsored search ads,0.92,295,303
Apr-16,Apr2016_1,25-34,TV ads,0.84,305,303
Apr-16,Apr2016_1,25-34,Instagram Ads,1.09,350,969
Apr-16,Apr2016_1,25-34,TikTok ads,1.26,402,969
Apr-16,Apr2016_1,25-34,Newspaper ads,0.67,289,333
Apr-16,Apr2016_1,25-34,LinkedIn,0.92,465,879
Apr-16,Apr2016_2,65 and above,Radio ads,0.36,108,303
Apr-16,Apr2016_2,65 and above,Sponsored search ads,0.44,188,454
Apr-16,Apr2016_2,65 and above,TV ads,0.4,76,90
Apr-16,Apr2016_2,65 and above,Influencer,0.52,271,303
Apr-16,Apr2016_2,65 and above,Instagram Ads,0.52,242,484
Apr-16,Apr2016_2,65 and above,Facebook ads,0.56,138,333
Apr-16,Apr2016_2,65 and above,Newspaper ads,0.32,74,151
Apr-16,Apr2016_2,65 and above,Email,0.28,158,454
Apr-16,Apr2016_2,45-54,Radio ads,0.44,217,363
Apr-16,Apr2016_2,45-54,Sponsored search ads,0.53,240,545
Apr-16,Apr2016_2,45-54,TV ads,0.49,94,30
Apr-16,Apr2016_2,45-54,Influencer,0.63,265,60
Apr-16,Apr2016_2,45-54,Instagram Ads,0.63,340,545
Apr-16,Apr2016_2,45-54,Facebook ads,0.68,197,242
Apr-16,Apr2016_2,45-54,Newspaper ads,0.39,200,545
Apr-16,Apr2016_2,45-54,Email,0.34,80,181
Apr-16,Apr2016_2,25-34,Radio ads,0.56,229,424
Apr-16,Apr2016_2,25-34,Sponsored search ads,0.68,332,272
Apr-16,Apr2016_2,25-34,TV ads,0.62,243,272
Apr-16,Apr2016_2,25-34,Influencer,0.81,182,90
Apr-16,Apr2016_2,25-34,Instagram Ads,0.81,195,363
Apr-16,Apr2016_2,25-34,Facebook ads,0.87,200,363
Apr-16,Apr2016_2,25-34,Newspaper ads,0.49,205,545
Apr-16,Apr2016_2,25-34,Email,0.43,186,545
Apr-16,Apr2016_2,55-64,Radio ads,0.4,80,151
Apr-16,Apr2016_2,55-64,Sponsored search ads,0.49,97,212
Apr-16,Apr2016_2,55-64,TV ads,0.44,149,272
Apr-16,Apr2016_2,55-64,Influencer,0.58,177,121
Apr-16,Apr2016_2,55-64,Instagram Ads,0.58,268,727
Apr-16,Apr2016_2,55-64,Facebook ads,0.62,161,424
Apr-16,Apr2016_2,55-64,Newspaper ads,0.35,86,181
Apr-16,Apr2016_2,55-64,Email,0.31,172,121
Apr-16,Apr2016_2,35-44,Radio ads,0.52,184,212
Apr-16,Apr2016_2,35-44,Sponsored search ads,0.63,214,484
Apr-16,Apr2016_2,35-44,TV ads,0.58,255,727
Apr-16,Apr2016_2,35-44,Influencer,0.75,195,333
Apr-16,Apr2016_2,35-44,Instagram Ads,0.75,271,757
Apr-16,Apr2016_2,35-44,Facebook ads,0.81,157,454
Apr-16,Apr2016_2,35-44,Newspaper ads,0.46,172,333
Apr-16,Apr2016_2,35-44,Email,0.4,132,333
Apr-16,Apr2016_3,45-54,Google banner ads,0.25,108,212
Apr-16,Apr2016_3,45-54,Email,0.14,72,30
Apr-16,Apr2016_3,45-54,LinkedIn,0.23,125,151
Apr-16,Apr2016_3,45-54,Instagram Ads,0.27,139,121
Apr-16,Apr2016_3,45-54,TikTok ads,0.31,62,90
Apr-16,Apr2016_3,45-54,Influencer,0.27,84,242
Apr-16,Apr2016_3,25-34,Google banner ads,0.31,72,30
Apr-16,Apr2016_3,25-34,Email,0.18,38,30
Apr-16,Apr2016_3,25-34,LinkedIn,0.29,118,181
Apr-16,Apr2016_3,25-34,Instagram Ads,0.34,110,30
Apr-16,Apr2016_3,25-34,TikTok ads,0.39,110,60
Apr-16,Apr2016_3,25-34,Influencer,0.34,162,363
Apr-16,Apr2016_4,55-64,Facebook ads,0.44,248,212
Apr-16,Apr2016_4,55-64,TV ads,0.31,167,424
Apr-16,Apr2016_4,55-64,Instagram Ads,0.41,84,151
Apr-16,Apr2016_4,55-64,Email,0.22,67,121
Apr-16,Apr2016_4,55-64,Radio ads,0.28,152,242
Apr-16,Apr2016_4,55-64,Newspaper ads,0.25,87,242
Apr-16,Apr2016_4,55-64,LinkedIn,0.35,194,90
Apr-16,Apr2016_4,55-64,TikTok ads,0.47,255,121
Apr-16,Apr2016_4,55-64,Sponsored search ads,0.35,110,242
Apr-16,Apr2016_4,55-64,Google banner ads,0.38,183,394
Apr-16,Apr2016_4,55-64,Influencer,0.41,83,30
Apr-16,Apr2016_4,25-34,Facebook ads,0.61,337,151
Apr-16,Apr2016_4,25-34,TV ads,0.44,97,242
Apr-16,Apr2016_4,25-34,Instagram Ads,0.57,248,303
Apr-16,Apr2016_4,25-34,Email,0.31,78,181
Apr-16,Apr2016_4,25-34,Radio ads,0.39,224,90
Apr-16,Apr2016_4,25-34,Newspaper ads,0.35,141,121
Apr-16,Apr2016_4,25-34,LinkedIn,0.48,245,303
Apr-16,Apr2016_4,25-34,TikTok ads,0.66,305,515
Apr-16,Apr2016_4,25-34,Sponsored search ads,0.48,192,484
Apr-16,Apr2016_4,25-34,Google banner ads,0.53,195,484
Apr-16,Apr2016_4,25-34,Influencer,0.57,188,121
Apr-16,Apr2016_5,18-24,LinkedIn,0.05,27,60
Apr-16,Apr2016_5,18-24,Email,0.03,8,0
Apr-16,Apr2016_5,18-24,Sponsored search ads,0.05,14,30
Apr-16,Apr2016_5,18-24,Google banner ads,0.05,23,30
Apr-16,Apr2016_5,18-24,TikTok ads,0.07,16,0
Apr-16,Apr2016_5,18-24,Influencer,0.06,33,30
Apr-16,Apr2016_5,18-24,TV ads,0.05,23,30
Apr-16,Apr2016_5,18-24,Radio ads,0.04,17,30
Apr-16,Apr2016_5,18-24,Newspaper ads,0.04,8,0
Apr-16,Apr2016_5,18-24,Facebook ads,0.07,27,60
Apr-16,Apr2016_5,18-24,Instagram Ads,0.06,27,0
Apr-16,Apr2016_5,65 and above,LinkedIn,0.03,17,30
Apr-16,Apr2016_5,65 and above,Email,0.02,7,0
Apr-16,Apr2016_5,65 and above,Sponsored search ads,0.03,12,0
Apr-16,Apr2016_5,65 and above,Google banner ads,0.03,14,0
Apr-16,Apr2016_5,65 and above,TikTok ads,0.04,16,0
Apr-16,Apr2016_5,65 and above,Influencer,0.04,14,0
Apr-16,Apr2016_5,65 and above,TV ads,0.03,7,0
Apr-16,Apr2016_5,65 and above,Radio ads,0.03,8,0
Apr-16,Apr2016_5,65 and above,Newspaper ads,0.02,8,0
Apr-16,Apr2016_5,65 and above,Facebook ads,0.04,14,30
Apr-16,Apr2016_5,65 and above,Instagram Ads,0.04,10,0
Apr-16,Apr2016_5,45-54,LinkedIn,0.04,9,0
Apr-16,Apr2016_5,45-54,Email,0.02,12,0
Apr-16,Apr2016_5,45-54,Sponsored search ads,0.04,12,0
Apr-16,Apr2016_5,45-54,Google banner ads,0.04,14,30
Apr-16,Apr2016_5,45-54,TikTok ads,0.05,10,0
Apr-16,Apr2016_5,45-54,Influencer,0.04,19,0
Apr-16,Apr2016_5,45-54,TV ads,0.03,14,0
Apr-16,Apr2016_5,45-54,Radio ads,0.03,7,0
Apr-16,Apr2016_5,45-54,Newspaper ads,0.03,7,0
Apr-16,Apr2016_5,45-54,Facebook ads,0.05,22,60
Apr-16,Apr2016_5,45-54,Instagram Ads,0.04,17,0
Apr-16,Apr2016_5,35-44,LinkedIn,0.04,14,30
Apr-16,Apr2016_5,35-44,Email,0.03,9,0
Apr-16,Apr2016_5,35-44,Sponsored search ads,0.04,15,0
Apr-16,Apr2016_5,35-44,Google banner ads,0.05,10,0
Apr-16,Apr2016_5,35-44,TikTok ads,0.06,19,0
Apr-16,Apr2016_5,35-44,Influencer,0.05,21,30
Apr-16,Apr2016_5,35-44,TV ads,0.04,16,0
Apr-16,Apr2016_5,35-44,Radio ads,0.04,16,0
Apr-16,Apr2016_5,35-44,Newspaper ads,0.03,16,0
Apr-16,Apr2016_5,35-44,Facebook ads,0.05,12,0
Apr-16,Apr2016_5,35-44,Instagram Ads,0.05,23,30
Apr-16,Apr2016_5,55-64,LinkedIn,0.03,10,0
Apr-16,Apr2016_5,55-64,Email,0.02,4,0
Apr-16,Apr2016_5,55-64,Sponsored search ads,0.03,10,0
Apr-16,Apr2016_5,55-64,Google banner ads,0.04,9,0
Apr-16,Apr2016_5,55-64,TikTok ads,0.05,17,0
Apr-16,Apr2016_5,55-64,Influencer,0.04,22,30
Apr-16,Apr2016_5,55-64,TV ads,0.03,8,0
Apr-16,Apr2016_5,55-64,Radio ads,0.03,14,30
Apr-16,Apr2016_5,55-64,Newspaper ads,0.02,11,0
Apr-16,Apr2016_5,55-64,Facebook ads,0.04,12,30
Apr-16,Apr2016_5,55-64,Instagram Ads,0.04,11,0
Apr-16,Apr2016_5,25-34,LinkedIn,0.05,26,0
Apr-16,Apr2016_5,25-34,Email,0.03,11,0
Apr-16,Apr2016_5,25-34,Sponsored search ads,0.05,24,30
Apr-16,Apr2016_5,25-34,Google banner ads,0.05,19,0
Apr-16,Apr2016_5,25-34,TikTok ads,0.07,17,30
Apr-16,Apr2016_5,25-34,Influencer,0.05,20,0
Apr-16,Apr2016_5,25-34,TV ads,0.04,14,0
Apr-16,Apr2016_5,25-34,Radio ads,0.04,15,0
Apr-16,Apr2016_5,25-34,Newspaper ads,0.03,9,0
Apr-16,Apr2016_5,25-34,Facebook ads,0.06,32,60
Apr-16,Apr2016_5,25-34,Instagram Ads,0.05,21,0
Apr-16,Apr2016_6,45-54,Facebook ads,0.28,124,151
Apr-16,Apr2016_6,45-54,Radio ads,0.18,53,90
Apr-16,Apr2016_6,45-54,Newspaper ads,0.16,88,30
Apr-16,Apr2016_6,45-54,TV ads,0.2,100,151
Apr-16,Apr2016_6,45-54,Instagram Ads,0.26,102,272
Apr-16,Apr2016_6,45-54,LinkedIn,0.22,93,212
Apr-16,Apr2016_6,45-54,Google banner ads,0.24,93,90
Apr-16,Apr2016_6,45-54,TikTok ads,0.3,138,363
Apr-16,Apr2016_6,45-54,Email,0.14,72,60
Apr-16,Apr2016_6,45-54,Sponsored search ads,0.22,69,90
Apr-16,Apr2016_6,45-54,Influencer,0.26,107,60
Apr-16,Apr2016_6,35-44,Facebook ads,0.33,93,212
Apr-16,Apr2016_6,35-44,Radio ads,0.21,100,242
Apr-16,Apr2016_6,35-44,Newspaper ads,0.19,104,90
Apr-16,Apr2016_6,35-44,TV ads,0.24,123,242
Apr-16,Apr2016_6,35-44,Instagram Ads,0.31,172,151
Apr-16,Apr2016_6,35-44,LinkedIn,0.26,77,151
Apr-16,Apr2016_6,35-44,Google banner ads,0.29,156,394
Apr-16,Apr2016_6,35-44,TikTok ads,0.36,167,212
Apr-16,Apr2016_6,35-44,Email,0.17,77,181
Apr-16,Apr2016_6,35-44,Sponsored search ads,0.26,125,242
Apr-16,Apr2016_6,35-44,Influencer,0.31,64,121
Apr-16,Apr2016_6,55-64,Facebook ads,0.26,95,272
Apr-16,Apr2016_6,55-64,Radio ads,0.16,69,121
Apr-16,Apr2016_6,55-64,Newspaper ads,0.15,83,30
Apr-16,Apr2016_6,55-64,TV ads,0.18,54,90
Apr-16,Apr2016_6,55-64,Instagram Ads,0.24,74,90
Apr-16,Apr2016_6,55-64,LinkedIn,0.2,107,181
Apr-16,Apr2016_6,55-64,Google banner ads,0.22,50,30
Apr-16,Apr2016_6,55-64,TikTok ads,0.27,60,90
Apr-16,Apr2016_6,55-64,Email,0.13,33,60
Apr-16,Apr2016_6,55-64,Sponsored search ads,0.2,83,30
Apr-16,Apr2016_6,55-64,Influencer,0.24,72,121
Apr-16,Apr2016_6,18-24,Facebook ads,0.38,122,181
Apr-16,Apr2016_6,18-24,Radio ads,0.25,133,151
Apr-16,Apr2016_6,18-24,Newspaper ads,0.22,70,151
Apr-16,Apr2016_6,18-24,TV ads,0.27,86,30
Apr-16,Apr2016_6,18-24,Instagram Ads,0.36,93,242
Apr-16,Apr2016_6,18-24,LinkedIn,0.3,165,121
Apr-16,Apr2016_6,18-24,Google banner ads,0.33,132,60
Apr-16,Apr2016_6,18-24,TikTok ads,0.41,185,121
Apr-16,Apr2016_6,18-24,Email,0.19,40,90
Apr-16,Apr2016_6,18-24,Sponsored search ads,0.3,95,30
Apr-16,Apr2016_6,18-24,Influencer,0.36,182,424
Apr-16,Apr2016_6,65 and above,Facebook ads,0.23,104,272
Apr-16,Apr2016_6,65 and above,Radio ads,0.15,56,30
Apr-16,Apr2016_6,65 and above,Newspaper ads,0.13,28,30
Apr-16,Apr2016_6,65 and above,TV ads,0.16,36,60
Apr-16,Apr2016_6,65 and above,Instagram Ads,0.21,42,60
